WikidataQuery;RetrievalDate;item;itemLabel;publication_date;type;typeLabel;published_in;published_inLabel;main_subject;main_subjectLabel;depicts;depictsLabel;publisher;publisherLabel;full_work_available_at_URL;author;authorLabel;LCCN
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117335876;Toledo Museum of Art to Return Four Works of Art with Falsified or Inadequate Provenance Documentation to Republic of India;2017-12-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q117287471;erroneous provenance (artwork);http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;https://www.toledomuseum.org/art/provenance-and-repatriation/kapoor-acquisitions;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117335876;Toledo Museum of Art to Return Four Works of Art with Falsified or Inadequate Provenance Documentation to Republic of India;2017-12-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q668;India;http://www.wikidata.org/entity/Q851304;looted art;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;https://www.toledomuseum.org/art/provenance-and-repatriation/kapoor-acquisitions;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117330077;Max Emden’s heirs to revive Nazi loot claim against the National Gallery of Victoria;2022-09-20T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q1478700;The Australian;http://www.wikidata.org/entity/Q117287471;erroneous provenance (artwork);http://www.wikidata.org/entity/Q117287471;erroneous provenance (artwork);;;https://www.theaustralian.com.au/arts/visual-arts/max-emdens-heirs-to-revive-nazi-loot-claim-against-the-national-gallery-of-victoria/news-story/3d4e9ef7a132b21d744961d527ec1c8c?amp&nk=021e6102ced70fd7a82ea63654089521-1680155380;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117335876;Toledo Museum of Art to Return Four Works of Art with Falsified or Inadequate Provenance Documentation to Republic of India;2017-12-18T00:00:00Z;http://www.wikidata.org/entity/Q207184;press release;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q851304;looted art;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;https://www.toledomuseum.org/art/provenance-and-repatriation/kapoor-acquisitions;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117330077;Max Emden’s heirs to revive Nazi loot claim against the National Gallery of Victoria;2022-09-20T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q1478700;The Australian;http://www.wikidata.org/entity/Q1464509;National Gallery of Victoria;http://www.wikidata.org/entity/Q1912453;Max Emden;;;https://www.theaustralian.com.au/arts/visual-arts/max-emdens-heirs-to-revive-nazi-loot-claim-against-the-national-gallery-of-victoria/news-story/3d4e9ef7a132b21d744961d527ec1c8c?amp&nk=021e6102ced70fd7a82ea63654089521-1680155380;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117335876;Toledo Museum of Art to Return Four Works of Art with Falsified or Inadequate Provenance Documentation to Republic of India;2017-12-18T00:00:00Z;http://www.wikidata.org/entity/Q207184;press release;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q1756454;art theft;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;https://www.toledomuseum.org/art/provenance-and-repatriation/kapoor-acquisitions;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117335876;Toledo Museum of Art to Return Four Works of Art with Falsified or Inadequate Provenance Documentation to Republic of India;2017-12-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q1553390;United States Department of Justice;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;https://www.toledomuseum.org/art/provenance-and-repatriation/kapoor-acquisitions;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117330077;Max Emden’s heirs to revive Nazi loot claim against the National Gallery of Victoria;2022-09-20T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q1478700;The Australian;http://www.wikidata.org/entity/Q107614552;claim for restitution of an artwork;http://www.wikidata.org/entity/Q1912453;Max Emden;;;https://www.theaustralian.com.au/arts/visual-arts/max-emdens-heirs-to-revive-nazi-loot-claim-against-the-national-gallery-of-victoria/news-story/3d4e9ef7a132b21d744961d527ec1c8c?amp&nk=021e6102ced70fd7a82ea63654089521-1680155380;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117335876;Toledo Museum of Art to Return Four Works of Art with Falsified or Inadequate Provenance Documentation to Republic of India;2017-12-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q668;India;http://www.wikidata.org/entity/Q16730580;Subhash Kapoor;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;https://www.toledomuseum.org/art/provenance-and-repatriation/kapoor-acquisitions;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117335876;Toledo Museum of Art to Return Four Works of Art with Falsified or Inadequate Provenance Documentation to Republic of India;2017-12-18T00:00:00Z;http://www.wikidata.org/entity/Q207184;press release;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q1331684;repatriation;http://www.wikidata.org/entity/Q851304;looted art;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;https://www.toledomuseum.org/art/provenance-and-repatriation/kapoor-acquisitions;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117335876;Toledo Museum of Art to Return Four Works of Art with Falsified or Inadequate Provenance Documentation to Republic of India;2017-12-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;https://www.toledomuseum.org/art/provenance-and-repatriation/kapoor-acquisitions;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117335876;Toledo Museum of Art to Return Four Works of Art with Falsified or Inadequate Provenance Documentation to Republic of India;2017-12-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q113564719;Art of the Past;http://www.wikidata.org/entity/Q851304;looted art;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;https://www.toledomuseum.org/art/provenance-and-repatriation/kapoor-acquisitions;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117319814;Spanish museum, California family spar in court over disputed Nazi-looted art;2018-12-05T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q6449319;The Times of Israel;http://www.wikidata.org/entity/Q104029446;Laurie Stein;http://www.wikidata.org/entity/Q16019235;Stephen Hahn;;;https://www.timesofisrael.com/spanish-museum-california-family-spar-in-court-over-disputed-nazi-looted-art/;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117335876;Toledo Museum of Art to Return Four Works of Art with Falsified or Inadequate Provenance Documentation to Republic of India;2017-12-18T00:00:00Z;http://www.wikidata.org/entity/Q207184;press release;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q1331684;repatriation;http://www.wikidata.org/entity/Q16730580;Subhash Kapoor;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;https://www.toledomuseum.org/art/provenance-and-repatriation/kapoor-acquisitions;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117319203;MFAH may keep painting once owned by Hitler’s art dealer, as judge rules against Jewish heirs;2019-04-30T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q595564;Houston Chronicle;http://www.wikidata.org/entity/Q6384856;Keith P. Ellison;http://www.wikidata.org/entity/Q1912453;Max Emden;;;https://www.lootedart.com/news.php?r=VFOPAF595941;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117319814;Spanish museum, California family spar in court over disputed Nazi-looted art;2018-12-05T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q6449319;The Times of Israel;http://www.wikidata.org/entity/Q16019235;Stephen Hahn;http://www.wikidata.org/entity/Q16019235;Stephen Hahn;;;https://www.timesofisrael.com/spanish-museum-california-family-spar-in-court-over-disputed-nazi-looted-art/;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117319203;MFAH may keep painting once owned by Hitler’s art dealer, as judge rules against Jewish heirs;2019-04-30T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q595564;Houston Chronicle;http://www.wikidata.org/entity/Q6384856;Keith P. Ellison;http://www.wikidata.org/entity/Q343021;Act of state doctrine;;;https://www.lootedart.com/news.php?r=VFOPAF595941;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117335876;Toledo Museum of Art to Return Four Works of Art with Falsified or Inadequate Provenance Documentation to Republic of India;2017-12-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q1331684;repatriation;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;https://www.toledomuseum.org/art/provenance-and-repatriation/kapoor-acquisitions;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117335876;Toledo Museum of Art to Return Four Works of Art with Falsified or Inadequate Provenance Documentation to Republic of India;2017-12-18T00:00:00Z;http://www.wikidata.org/entity/Q207184;press release;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q851304;looted art;http://www.wikidata.org/entity/Q851304;looted art;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;https://www.toledomuseum.org/art/provenance-and-repatriation/kapoor-acquisitions;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117335876;Toledo Museum of Art to Return Four Works of Art with Falsified or Inadequate Provenance Documentation to Republic of India;2017-12-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q117287471;erroneous provenance (artwork);http://www.wikidata.org/entity/Q851304;looted art;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;https://www.toledomuseum.org/art/provenance-and-repatriation/kapoor-acquisitions;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117319203;MFAH may keep painting once owned by Hitler’s art dealer, as judge rules against Jewish heirs;2022-05-04T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q595564;Houston Chronicle;http://www.wikidata.org/entity/Q6384856;Keith P. Ellison;http://www.wikidata.org/entity/Q1912453;Max Emden;;;https://www.lootedart.com/news.php?r=VFOPAF595941;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117335876;Toledo Museum of Art to Return Four Works of Art with Falsified or Inadequate Provenance Documentation to Republic of India;2017-12-18T00:00:00Z;http://www.wikidata.org/entity/Q207184;press release;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q1756454;art theft;http://www.wikidata.org/entity/Q851304;looted art;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;https://www.toledomuseum.org/art/provenance-and-repatriation/kapoor-acquisitions;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117319814;Spanish museum, California family spar in court over disputed Nazi-looted art;2018-12-05T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q6449319;The Times of Israel;http://www.wikidata.org/entity/Q104029446;Laurie Stein;http://www.wikidata.org/entity/Q117287471;erroneous provenance (artwork);;;https://www.timesofisrael.com/spanish-museum-california-family-spar-in-court-over-disputed-nazi-looted-art/;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117335876;Toledo Museum of Art to Return Four Works of Art with Falsified or Inadequate Provenance Documentation to Republic of India;2017-12-18T00:00:00Z;http://www.wikidata.org/entity/Q207184;press release;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q11231;United States Department of Homeland Security;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;https://www.toledomuseum.org/art/provenance-and-repatriation/kapoor-acquisitions;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117319203;MFAH may keep painting once owned by Hitler’s art dealer, as judge rules against Jewish heirs;2022-05-04T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q595564;Houston Chronicle;http://www.wikidata.org/entity/Q6384856;Keith P. Ellison;http://www.wikidata.org/entity/Q343021;Act of state doctrine;;;https://www.lootedart.com/news.php?r=VFOPAF595941;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117319814;Spanish museum, California family spar in court over disputed Nazi-looted art;2018-12-05T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q6449319;The Times of Israel;http://www.wikidata.org/entity/Q16019235;Stephen Hahn;http://www.wikidata.org/entity/Q117287471;erroneous provenance (artwork);;;https://www.timesofisrael.com/spanish-museum-california-family-spar-in-court-over-disputed-nazi-looted-art/;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117335876;Toledo Museum of Art to Return Four Works of Art with Falsified or Inadequate Provenance Documentation to Republic of India;2017-12-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q1553390;United States Department of Justice;http://www.wikidata.org/entity/Q851304;looted art;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;https://www.toledomuseum.org/art/provenance-and-repatriation/kapoor-acquisitions;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117335876;Toledo Museum of Art to Return Four Works of Art with Falsified or Inadequate Provenance Documentation to Republic of India;2017-12-18T00:00:00Z;http://www.wikidata.org/entity/Q207184;press release;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;http://www.wikidata.org/entity/Q851304;looted art;http://www.wikidata.org/entity/Q16730580;Subhash Kapoor;http://www.wikidata.org/entity/Q1743116;Toledo Museum of Art;https://www.toledomuseum.org/art/provenance-and-repatriation/kapoor-acquisitions;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q117319203;MFAH may keep painting once owned by Hitler’s art dealer, as judge rules against Jewish heirs;2019-04-30T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q595564;Houston Chronicle;http://www.wikidata.org/entity/Q107614552;claim for restitution of an artwork;http://www.wikidata.org/entity/Q117287471;erroneous provenance (artwork);;;https://www.lootedart.com/news.php?r=VFOPAF595941;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q108302557;Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum;2021-08-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q18162317;Artnet News;http://www.wikidata.org/entity/Q475667;Führermuseum;http://www.wikidata.org/entity/Q117287471;erroneous provenance (artwork);;;https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q108302557;Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum;2021-08-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q18162317;Artnet News;http://www.wikidata.org/entity/Q1565911;Museum of Fine Arts, Houston;http://www.wikidata.org/entity/Q104029446;Laurie Stein;;;https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q108302557;Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum;2021-08-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q18162317;Artnet News;http://www.wikidata.org/entity/Q2146005;restitution of Nazi-looted art;http://www.wikidata.org/entity/Q117287471;erroneous provenance (artwork);;;https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q108302557;Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum;2021-08-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q18162317;Artnet News;http://www.wikidata.org/entity/Q1912453;Max Emden;http://www.wikidata.org/entity/Q104029446;Laurie Stein;;;https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q108302557;Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum;2021-08-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q18162317;Artnet News;http://www.wikidata.org/entity/Q1731388;Karl Haberstock;http://www.wikidata.org/entity/Q104029446;Laurie Stein;;;https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q108302557;Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum;2021-08-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q18162317;Artnet News;http://www.wikidata.org/entity/Q851824;persecution;http://www.wikidata.org/entity/Q104029446;Laurie Stein;;;https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q108302557;Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum;2021-08-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q18162317;Artnet News;http://www.wikidata.org/entity/Q15428561;Anna Caspari;http://www.wikidata.org/entity/Q15633618;Limbach Commission;;;https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q108302557;Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum;2021-08-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q18162317;Artnet News;http://www.wikidata.org/entity/Q104029446;Laurie Stein;http://www.wikidata.org/entity/Q15633618;Limbach Commission;;;https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q108302557;Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum;2021-08-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q18162317;Artnet News;http://www.wikidata.org/entity/Q475667;Führermuseum;http://www.wikidata.org/entity/Q17488961;Gary Tinterow;;;https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q108302557;Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum;2021-08-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q18162317;Artnet News;http://www.wikidata.org/entity/Q2146005;restitution of Nazi-looted art;http://www.wikidata.org/entity/Q17488961;Gary Tinterow;;;https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q108302557;Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum;2021-08-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q18162317;Artnet News;http://www.wikidata.org/entity/Q164688;Bernardo Bellotto;http://www.wikidata.org/entity/Q117287471;erroneous provenance (artwork);;;https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q108302557;Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum;2021-08-18T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q18162317;Artnet News;http://www.wikidata.org/entity/Q1946564;Monuments Men Foundation for the Preservation of Art;http://www.wikidata.org/entity/Q107614552;claim for restitution of an artwork;;;https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062;;;
